Complex_Name,Confidence_Score,Protein_Path,Ligand_Path
B4_45_adipate semialdehyde,-3.93,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_45_adipate semialdehyde/rank10_confidence-3.93.sdf
B6_28_Phenylacetaldehyde,-3.93,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_28_Phenylacetaldehyde/rank10_confidence-3.93.sdf
B3_49_2-Aminomuconic semialdehyde,-3.95,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_49_2-Aminomuconic semialdehyde/rank10_confidence-3.95.sdf
B6_42_Glutamate-5-semialdehyde,-3.96,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_42_Glutamate-5-semialdehyde/rank10_confidence-3.96.sdf
"B2_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-3.98,/root/miniproject/DiffDock/proteinPDB/B2.pdb,"/root/miniproject/results_batch/B2_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde/rank10_confidence-3.98.sdf"
B5_16_octanaldehyde,-3.99,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_16_octanaldehyde/rank10_confidence-3.99.sdf
B5_34_4-hydroxy-2-nonenal,-3.99,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_34_4-hydroxy-2-nonenal/rank10_confidence-3.99.sdf
B4_48_alpha-aminoadipate semialdehyde,-4.0,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_48_alpha-aminoadipate semialdehyde/rank10_confidence-4.00.sdf
"B7_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-4.02,/root/miniproject/DiffDock/proteinPDB/B7.pdb,"/root/miniproject/results_batch/B7_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde/rank10_confidence-4.02.sdf"
B7_56_S-hydroxy-methylglutathione,-4.02,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_56_S-hydroxy-methylglutathione/rank10_confidence-4.02.sdf
